25|Australia_DebtGDP|Austria_DebtGDP|Belgium_DebtGDP|Canada_DebtGDP|Czech Republic_DebtGDP|Denmark_DebtGDP|Finland_DebtGDP|France_DebtGDP|Germany_DebtGDP|Greece_DebtGDP|Ireland_DebtGDP|Italy_DebtGDP|Japan_DebtGDP|Korea_DebtGDP|Netherlands_DebtGDP|New Zealand_DebtGDP|Norway_DebtGDP|Portugal_DebtGDP|Slovenia_DebtGDP|Spain_DebtGDP|Sweden_DebtGDP|Switzerland_DebtGDP|United Kingdom_DebtGDP|United States_DebtGDP
2004Q1|11.777536472481547|69.28037655195931|105.60906555384607|69.55212871728901|29.647818433548423|50.572773074343246|42.14832392401268|65.96081101343765|64.84130495498091|102.69794163444547|30.31055072377876|108.06741394364938|142.40682666070654|13.24897629562541|50.84405819706467|25.506764939963322|41.994617527516844|63.765239022749356|27.606214969188365|47.66675289931746|50.097683064891505|46.224226392345194|36.7199344863135|59.50092646070541
2004Q2|11.391807178703527|72.097152354495|104.14752774205178|68.57930026394887|30.56390910849914|50.85440829389039|43.185028020868934|67.18271631679332|64.73642671216011|106.0240976735087|30.942714786597424|109.74572516434402|145.3655637226413|13.788065881496061|51.14874122608941|22.606503723479943|47.06210605754615|65.22885733896896|27.469385123578295|47.02693259922775|48.39175438520213|45.96006016800834|38.224178188189654|59.42953154716295
2004Q3|11.305915477588341|72.07514102634318|102.97269306098171|66.5337582743857|29.715168467675003|51.221365529643236|43.784533033541365|66.8227814020424|65.33413961885482|104.48258388273753|29.76841715468766|109.09389525552828|142.84443080772178|14.80935665732849|51.57435547953917|23.086374655464418|47.16211233135841|65.55998334779481|27.153083372978116|45.81339443649982|47.427856881119084|45.85402689204025|38.401045579284656|59.450027746774836
2004Q4|10.998890841842098|65.42067605261856|97.16966511690586|65.24187879146325|28.288733286114898|46.21514313686266|44.93798073591574|66.87940272671315|64.9648894044587|102.87327840756572|28.103149258602706|104.7417619704712|143.84230551931435|15.347375762460183|50.16451174156701|23.163343332745136|42.95557408522792|67.09749881771846|27.086904197512858|45.332703919149736|48.66572847336465|45.78280351775221|39.8015479681878|60.095111965281674
2005Q1|10.918674781625406|74.36572007119341|101.2886073500322|65.62695779203071|28.318273993423787|46.741816928409534|40.21604226046065|67.6929860005368|66.12816122750381|103.25202875958486|28.279039062632368|108.16303868580637|144.9711399789751|17.72064237142046|50.00093317009077|21.457450593524598|43.169496508838506|67.45192085605892|28.261262172392872|45.0591775417576|48.43216859614809|45.3081214879066|39.19267056541842|60.56467776780936
2005Q2|10.501425960807962|76.70863459210014|99.73316093792776|64.4890271732686|27.897423277323412|46.28844604421598|40.754847431679146|68.082701090745|66.47164277532887|106.60840791999449|28.488099546149087|110.44962465824624|146.68611130880868|18.99964299573147|52.19970770336509|21.584894591182135|41.55296078823775|68.17199017831072|26.143797802291317|43.965640674568554|47.13995610561171|44.83062497380767|40.087964161332835|59.23837498144391
2005Q3|10.249092677221906|75.9183614491489|98.46938275556833|62.84400942406202|27.613054758574908|42.45865823743838|40.15386873455809|67.77558481081697|67.1193426305148|107.81783039945438|27.732299011677558|108.70056687165336|145.38897671354314|18.311183418394254|50.52626766873297|21.646799811291082|42.478017015649286|71.06688630852959|26.40160383574703|42.8963162422177|47.159126265817974|44.13646980203325|40.33041098153202|58.780384658818775
2005Q4|9.923059210594554|68.95755190396537|95.14187016388368|61.88042965974719|27.67781473155029|39.35993117323102|42.144097749383604|68.18603692975447|67.12016975461256|107.39502715290953|26.05968080983641|106.17559651864852|145.83445630512983|18.10672589910021|49.64510541978082|21.884483359036867|41.579679505347414|72.24253088872491|26.603819276274827|42.39518080597163|48.8973028631009|43.40982410323374|41.000422520409316|59.12590496349469
2006Q1|9.628440418308474|72.1279770020022|98.21027514869243|61.50324902854288|27.720496836723896|36.31485753547628|38.75112524755446|68.0114467851403|67.21727961347561|105.46912602819923|26.60291173752629|108.43068000129088|145.47415079419943|19.955306581508026|49.004672381704765|20.380816754955102|41.004810616214286|71.98158264398316|26.757075752473664|41.61089278000568|45.49110810605648|42.07713618441581|40.51178960011504|59.401072304095024
2006Q2|9.518510186226722|74.54622174235311|95.50702313112889|59.82567428961387|27.775023249626805|36.30034375735917|40.96832052454655|67.09817586139879|67.22683819339808|105.32141467461267|26.22909108308401|109.46842478319476|144.44934983144958|20.899420620842463|48.37890464114019|20.462120474892956|43.529927884051446|73.7763968951104|26.692003506118983|40.40003561024995|44.37544122217343|40.7639582031074|41.568429907205314|58.087329104374994
